"青沥备开(悼谰搁)喊","亲格",2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"青沥备开(悼谰搁)喊","亲格",拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+,拌,0 - 4技,5 - 9技,10 - 14技,15 - 19技,20 - 24技,25 - 29技,30 - 34技,35 - 39技,40 - 44技,45 - 49技,50 - 54技,55 - 59技,60 - 64技,65 - 69技,70 - 74技,75 - 79技,80 - 84技,85 - 89技,90 - 94技,95 - 99技,100+
"傈惫","醚牢备荐 (疙)",50734284,2328435,2347414,3134531,3546594,3212315,3515101,4024454,4230332,4617122,4229561,4313633,3214513,2319307,1897565,1640831,1130345,618481,283425,95014,23677,11634,50948272,2321293,2347418,2955976,3491303,3319540,3307408,4062598,4106345,4639747,4196411,4405468,3386102,2428603,1899933,1774343,1196000,663632,301459,106586,25450,12657,51141463,2301320,2322614,2809185,3420530,3405202,3184327,4086122,3929292,4599684,4320277,4404070,3621186,2486668,1985888,1803037,1269763,708188,323430,120230,26657,13793,51327916,2294304,2297070,2663025,3325879,3488497,3153547,3917451,3894396,4528033,4402183,4370591,3845570,2626763,2079345,1800922,1345682,766736,357407,126692,28817,15006,51529338,2266781,2334907,2459825,3257264,3557583,3141465,3731387,3939579,4396186,4462807,4289141,4035650,2881662,2191617,1789894,1386543,838507,386703,134214,31414,16209,51696216,2204271,2361897,2349979,3131059,3541061,3217367,3517868,4016272,4212243,4584810,4182392,4242269,3139076,2237345,1781229,1457890,909130,416164,141488,34844,17562,51778544,2079115,2356083,2350767,2953658,3486427,3324540,3311945,4056704,4091743,4611009,4153396,4336808,3310243,2347021,1793132,1585974,968146,451453,153236,39294,17850,51826059,1974244,2328818,2325548,2805605,3414902,3409071,3189361,4080782,3916194,4572393,4277593,4338291,3542849,2406790,1880192,1617744,1032594,484398,165694,44213,18783,51849861,1845122,2321792,2299958,2659052,3319645,3490711,3158230,3912794,3882192,4501038,4359591,4307786,3765035,2545616,1972502,1623542,1103019,530317,185868,45891,20160,51829023,1677023,2293047,2337589,2455747,3249676,3556477,3145998,3727119,3926316,4368471,4418728,4226286,3950469,2794037,2080134,1618112,1143935,585487,203704,48756,21912,51638809,1530469,2229881,2364196,2345120,3121322,3534601,3216061,3507374,3992831,4173961,4526822,4108389,4136749,3027963,2109712,1605372,1201825,633656,217247,47297,7961
"傈惫","巢磊牢备荐 (疙)",25406934,1198629,1218866,1635253,1882958,1688523,1811906,2053846,2157764,2341732,2176857,2175707,1598548,1133757,886144,713163,433883,192497,77030,22523,4696,2652,25504060,1194460,1214863,1544170,1846162,1752677,1706803,2078373,2085311,2366703,2143613,2226268,1689298,1189791,893794,779224,467062,210864,81249,25325,5142,2908,25588336,1183212,1199677,1465338,1801265,1802320,1649886,2085473,2005223,2344220,2196548,2228829,1812276,1216918,943198,796139,503314,230472,86751,28645,5438,3194,25669296,1178326,1184754,1387285,1743200,1852508,1638106,2004817,1980982,2311387,2232995,2217165,1920820,1290056,994183,800094,540915,255600,95969,30434,6200,3500,25758186,1162807,1203174,1278769,1702043,1886202,1641611,1911972,2007424,2238667,2266945,2177823,2018507,1411839,1050474,801927,564174,288017,103656,31436,6937,3782,25827594,1129953,1215209,1219887,1632122,1877127,1682988,1806754,2045265,2143639,2317182,2139711,2120391,1540582,1072395,806680,600607,319391,113221,32695,7658,4137,25855919,1066180,1211669,1216208,1541483,1840481,1747478,1702336,2070532,2072984,2343868,2109201,2172196,1630378,1128219,820056,662122,346908,126131,34873,8592,4024,25866129,1012380,1196477,1200639,1461559,1795166,1796667,1645627,2077946,1993955,2322659,2162701,2176502,1751203,1155935,869294,680342,376285,139164,37592,9709,4327,25864816,946540,1191675,1185701,1383262,1736875,1846052,1633656,1997634,1970568,2290410,2199729,2166958,1858067,1227645,918569,688481,409083,156334,42658,10089,4830,25841029,860253,1175459,1204016,1274757,1695036,1878631,1636675,1904873,1996771,2218200,2233682,2128862,1953296,1345308,971198,693142,430519,177942,46761,10297,5351,25746684,785425,1142373,1215920,1215429,1624175,1867507,1675607,1797104,2030491,2119757,2278787,2087512,2046089,1462656,986553,696848,457975,196253,49809,9042,1372
"傈惫","咯磊牢备荐 (疙)",25327350,1129806,1128548,1499278,1663636,1523792,1703195,1970608,2072568,2275390,2052704,2137926,1615965,1185550,1011421,927668,696462,425984,206395,72491,18981,8982,25444212,1126833,1132555,1411806,1645141,1566863,1600605,1984225,2021034,2273044,2052798,2179200,1696804,1238812,1006139,995119,728938,452768,220210,81261,20308,9749,25553127,1118108,1122937,1343847,1619265,1602882,1534441,2000649,1924069,2255464,2123729,2175241,1808910,1269750,1042690,1006898,766449,477716,236679,91585,21219,10599,25658620,1115978,1112316,1275740,1582679,1635989,1515441,1912634,1913414,2216646,2169188,2153426,1924750,1336707,1085162,1000828,804767,511136,261438,96258,22617,11506,25771152,1103974,1131733,1181056,1555221,1671381,1499854,1819415,1932155,2157519,2195862,2111318,2017143,1469823,1141143,987967,822369,550490,283047,102778,24477,12427,25868622,1074318,1146688,1130092,1498937,1663934,1534379,1711114,1971007,2068604,2267628,2042681,2121878,1598494,1164950,974549,857283,589739,302943,108793,27186,13425,25922625,1012935,1144414,1134559,1412175,1645946,1577062,1609609,1986172,2018759,2267141,2044195,2164612,1679865,1218802,973076,923852,621238,325322,118363,30702,13826,25959930,961864,1132341,1124909,1344046,1619736,1612404,1543734,2002836,1922239,2249734,2114892,2161789,1791646,1250855,1010898,937402,656309,345234,128102,34504,14456,25985045,898582,1130117,1114257,1275790,1582770,1644659,1524574,1915160,1911624,2210628,2159862,2140828,1906968,1317971,1053933,935061,693936,373983,143210,35802,15330,25987994,816770,1117588,1133573,1180990,1554640,1677846,1509323,1822246,1929545,2150271,2185046,2097424,1997173,1448729,1108936,924970,713416,407545,156943,38459,16561,25892125,745044,1087508,1148276,1129691,1497147,1667094,1540454,1710270,1962340,2054204,2248035,2020877,2090660,1565307,1123159,908524,743850,437403,167438,38255,6589
"辑匡漂喊矫","醚牢备荐 (疙)",10249679,423159,413489,546521,656996,670429,859390,939264,892678,921739,822851,867807,692287,498319,396019,295395,180639,98901,47608,17491,5111,3586,10195318,417106,408881,510946,635563,683987,804957,943732,858510,926040,809739,862811,713525,513938,401794,326428,193611,104821,50315,19298,5390,3926,10143645,408757,399980,482673,613137,690382,769461,946833,816618,916860,822093,848087,745718,521338,419597,338261,208188,110709,53599,21474,5614,4266,10103233,404369,389623,456867,587646,701179,756772,904291,809375,897379,832090,830977,773183,542953,437267,344188,224660,118754,58585,22462,5942,4671,10022181,393903,389396,417806,567984,703783,743438,856461,811792,859470,842139,802504,785829,585240,452512,347368,234999,130345,62456,23212,6507,5037,9930616,376575,384739,395786,538419,690728,751973,803507,817467,811751,866421,770459,799578,627314,448956,350580,251961,141649,66067,24153,7058,5475,9857426,350277,378185,390804,503852,674674,772441,758616,820573,778634,869355,757665,795878,646571,462481,356509,278800,152642,70471,25877,7602,5519,9765623,324470,365898,380366,474755,658915,790875,730349,818421,734337,856037,766952,780002,673949,468466,372218,288607,164475,74394,27804,8490,5843,9729107,300799,361894,370557,449014,641964,814659,725858,784101,725112,835871,775779,764189,700646,489156,388790,295297,178836,80651,30848,8842,6244,9668465,270481,353264,371652,410214,630115,830296,726382,748724,728008,800174,784730,738826,714460,529494,404546,299530,188219,89875,33503,9180,6792,9509458,244538,339145,367879,388257,603077,819200,736001,703278,729566,751214,801892,705302,722662,563260,396569,299231,199138,95871,33815,7920,1643
"辑匡漂喊矫","巢磊牢备荐 (疙)",5073899,217099,213296,284211,346341,337208,425224,473659,454415,461689,413722,421065,332974,239941,190828,137206,73276,31869,13210,4590,1182,894,5041336,214127,210558,265630,333823,345267,397714,476655,433603,466424,404264,420674,343207,247439,191499,153800,80347,35037,13915,5098,1259,996,5007869,209667,205895,250355,320456,349243,379792,476335,413352,460834,409041,415171,358765,250234,199550,159511,88346,38352,14741,5806,1330,1093,4979768,207551,200111,236548,305351,355216,373676,454908,406697,451283,413756,408089,371728,260560,207207,162278,97193,42350,16541,6016,1500,1209,4930943,201960,199837,215897,294144,355317,367883,429916,407741,430700,418873,395813,378104,279098,213781,163424,103173,48243,18019,5985,1742,1293,4876789,193061,197173,204235,278216,347534,372249,402358,410076,405561,428554,383655,385147,298480,211568,163766,112076,54033,19595,6146,1900,1406,4830206,179376,193977,201424,260173,336372,383647,378649,412218,386206,432103,374447,384869,307367,218051,164771,125578,59470,21695,6469,2016,1328,4773899,166475,187506,196113,244207,323758,392439,364172,410013,365464,424481,378148,378451,320722,220092,171611,130235,65445,23864,6950,2303,1450,4744059,154742,185592,190760,230579,310553,403107,361646,393184,358785,414743,382449,371993,332818,229978,178497,133393,72707,26524,8008,2405,1596,4701723,139213,181062,191013,210272,301012,406657,362815,375086,360658,396292,387425,361157,339633,247661,185490,134926,77789,30550,8848,2373,1791,4618040,126059,173705,188872,198819,285890,398640,367125,351638,361658,371713,394245,348512,343867,263247,182384,134124,83319,33205,8844,1793,381
"辑匡漂喊矫","咯磊牢备荐 (疙)",5175780,206060,200193,262310,310655,333221,434166,465605,438263,460050,409129,446742,359313,258378,205191,158189,107363,67032,34398,12901,3929,2692,5153982,202979,198323,245316,301740,338720,407243,467077,424907,459616,405475,442137,370318,266499,210295,172628,113264,69784,36400,14200,4131,2930,5135776,199090,194085,232318,292681,341139,389669,470498,403266,456026,413052,432916,386953,271104,220047,178750,119842,72357,38858,15668,4284,3173,5123465,196818,189512,220319,282295,345963,383096,449383,402678,446096,418334,422888,401455,282393,230060,181910,127467,76404,42044,16446,4442,3462,5091238,191943,189559,201909,273840,348466,375555,426545,404051,428770,423266,406691,407725,306142,238731,183944,131826,82102,44437,17227,4765,3744,5053827,183514,187566,191551,260203,343194,379724,401149,407391,406190,437867,386804,414431,328834,237388,186814,139885,87616,46472,18007,5158,4069,5027220,170901,184208,189380,243679,338302,388794,379967,408355,392428,437252,383218,411009,339204,244430,191738,153222,93172,48776,19408,5586,4191,4991724,157995,178392,184253,230548,335157,398436,366177,408408,368873,431556,388804,401551,353227,248374,200607,158372,99030,50530,20854,6187,4393,4985048,146057,176302,179797,218435,331411,411552,364212,390917,366327,421128,393330,392196,367828,259178,210293,161904,106129,54127,22840,6437,4648,4966742,131268,172202,180639,199942,329103,423639,363567,373638,367350,403882,397305,377669,374827,281833,219056,164604,110430,59325,24655,6807,5001,4891418,118479,165440,179007,189438,317187,420560,368876,351640,367908,379501,407647,356790,378795,300013,214185,165107,115819,62666,24971,6127,1262
"何魂堡开矫","醚牢备荐 (疙)",3550963,131652,133670,190240,239260,233065,247517,270770,265805,300607,294746,341069,279227,205292,153662,122468,76220,40658,17352,5197,1408,1078,3538484,132653,132781,177306,230016,237793,228981,272275,257083,297400,286169,339007,289914,214907,156443,133545,81272,43465,18917,5895,1479,1183,3527635,133204,130721,166576,220929,241024,217618,271416,246643,292074,288735,329763,302788,218728,164940,139282,86991,46012,20729,6683,1480,1299,3519401,134814,128953,156351,210418,242996,213901,257882,246934,285554,290933,317225,313172,228152,173653,141804,93770,49767,22961,7208,1546,1407,3513777,134998,132229,143261,202242,245043,211471,241664,252294,276171,292047,301339,318364,248024,184875,140328,99313,54727,24401,7782,1715,1489,3498529,132044,135043,134893,190317,240006,215193,223739,259777,262415,295913,285203,325197,262725,191726,140369,106214,59350,26483,8384,1953,1585,3470653,123780,134952,133256,176788,231095,220696,207213,260411,252607,292445,276951,322593,272339,200278,143551,116352,63737,28416,9367,2212,1614,3441453,117093,134349,130486,165659,222024,222713,196046,258665,240962,286085,279363,313826,284221,203906,151390,121602,68558,30117,10250,2473,1665,3413841,107963,135358,128260,154980,212685,223464,191915,243795,239398,278384,280880,302219,294417,212830,159789,124321,74493,32833,11419,2648,1790,3391946,97374,134982,130808,141206,205631,225356,190729,228285,243202,267946,281674,287239,299803,231817,169886,123413,79270,36410,12152,2876,1887,3350380,87778,131833,133297,132808,194686,220863,194498,210802,249223,253168,283992,270776,304771,244107,175111,123017,84624,39167,12867,2590,402
"何魂堡开矫","巢磊牢备荐 (疙)",1762848,67561,69275,100418,129556,123139,127645,138435,134969,148270,145936,165282,136690,100024,73809,54415,29464,12090,4289,1107,246,228,1754479,68061,68759,93422,123763,126824,117800,139444,130264,148363,140591,164027,141528,104575,75014,60041,32074,13515,4575,1301,282,256,1747000,68419,67353,87515,118087,129020,112463,138462,125815,145995,141587,159548,147913,105749,79042,63116,34992,14860,5008,1498,277,281,1740417,69190,66453,81610,111850,130324,110566,131799,125796,143422,142723,153909,151107,111179,82870,64681,38399,16575,5724,1620,312,308,1735570,69420,68017,74478,107021,130825,109982,123526,128885,138811,144035,146240,153703,119522,88033,64475,41159,18875,6165,1711,367,320,1725607,67957,69254,69988,100063,127936,112087,114667,132506,132500,145250,140080,156107,126318,90841,64984,44514,21014,6959,1840,402,340,1709508,63668,69256,69005,92771,122170,115824,106044,133014,127322,145162,135234,154857,130774,94792,66418,49522,23117,7785,1970,476,327,1692421,60245,68944,67237,86751,116610,117145,100682,131363,122422,142310,136127,150567,136642,95951,69997,52333,25412,8625,2175,534,349,1675417,55362,69565,66106,80681,110827,117902,98521,123935,121268,139061,136792,145329,139889,101137,73677,53998,28193,9690,2520,575,389,1661000,49872,69301,67310,73248,106179,118338,98368,115929,123472,133816,137957,138111,142613,108971,78142,54064,30534,11070,2685,600,420,1639044,45023,67721,68411,68668,99852,115518,100304,107643,126413,127096,138437,131866,144190,114724,80220,54472,32930,12164,2862,468,62
"何魂堡开矫","咯磊牢备荐 (疙)",1788115,64091,64395,89822,109704,109926,119872,132335,130836,152337,148810,175787,142537,105268,79853,68053,46756,28568,13063,4090,1162,850,1784005,64592,64022,83884,106253,110969,111181,132831,126819,149037,145578,174980,148386,110332,81429,73504,49198,29950,14342,4594,1197,927,1780635,64785,63368,79061,102842,112004,105155,132954,120828,146079,147148,170215,154875,112979,85898,76166,51999,31152,15721,5185,1203,1018,1778984,65624,62500,74741,98568,112672,103335,126083,121138,142132,148210,163316,162065,116973,90783,77123,55371,33192,17237,5588,1234,1099,1778207,65578,64212,68783,95221,114218,101489,118138,123409,137360,148012,155099,164661,128502,96842,75853,58154,35852,18236,6071,1348,1169,1772922,64087,65789,64905,90254,112070,103106,109072,127271,129915,150663,145123,169090,136407,100885,75385,61700,38336,19524,6544,1551,1245,1761145,60112,65696,64251,84017,108925,104872,101169,127397,125285,147283,141717,167736,141565,105486,77133,66830,40620,20631,7397,1736,1287,1749032,56848,65405,63249,78908,105414,105568,95364,127302,118540,143775,143236,163259,147579,107955,81393,69269,43146,21492,8075,1939,1316,1738424,52601,65793,62154,74299,101858,105562,93394,119860,118130,139323,144088,156890,154528,111693,86112,70323,46300,23143,8899,2073,1401,1730946,47502,65681,63498,67958,99452,107018,92361,112356,119730,134130,143717,149128,157190,122846,91744,69349,48736,25340,9467,2276,1467,1711336,42755,64112,64886,64140,94834,105345,94194,103159,122810,126072,145555,138910,160581,129383,94891,68545,51694,27003,10005,2122,340
"措备堡开矫","醚牢备荐 (疙)",2507271,103704,112610,161836,189316,167696,164681,183726,202908,234322,220174,220394,165471,120395,89457,76974,51513,26341,11078,3476,825,374,2505644,103360,111483,150583,185785,172734,153239,183874,194420,232063,218113,225835,172285,127718,89825,83681,54550,28719,12212,3868,880,417,2501588,102513,108592,142330,180415,176322,146225,183825,183694,226719,224025,227212,179790,130680,94589,86649,58111,30873,13332,4326,906,460,2493264,102401,106123,133135,173961,178621,145315,173067,180170,220367,225721,222925,192756,135165,100243,86765,61803,34151,14454,4627,993,501,2487829,101327,106788,121338,168252,181783,144972,163062,179571,212572,226102,219409,200244,146287,107406,84843,64041,37722,15560,4909,1098,543,2484557,99198,107838,114049,160078,180631,149296,152640,181128,202133,229689,212076,210139,156761,113421,82739,67796,40861,17073,5237,1183,591,2475231,93774,107269,112974,148782,177257,154955,142938,181077,193535,227611,210111,214566,162923,119995,83333,73961,43499,18958,5795,1303,615,2461769,89103,105850,109363,140309,171726,159119,137036,180942,182292,221978,215395,215748,169974,122776,87824,76762,46544,20525,6423,1452,628,2438031,82807,105505,106587,130611,164143,159498,135805,170181,178142,215245,216711,211538,181981,126816,93006,77106,50027,23031,7092,1521,678,2418346,74200,104026,106632,119266,159933,161601,134656,159654,176720,207119,217091,208388,188566,137391,99674,75602,52111,25554,7739,1690,733,2385412,66357,101466,107087,111450,150657,158264,136780,148085,176972,195583,219286,200158,196207,146084,104441,73387,55039,27742,8479,1643,245
